enterscene_,sceneinfo,appuin,appuinname,uv
ALL,NULL,3845012225,有票儿出行服务,648
1008,群聊,3506066281,小立报名,647
1001,列表,3505058977,中国电信营业厅,646
1089,会话下拉,3507422460,村长讲故事,644
1037,其他小程序,3507009314,忆年共享相册,640
1001,列表,3508185139,来电,640
1047,扫描小程序码,3507000634,美团外卖,638
1035,公众号自定义菜单,3507422460,村长讲故事,635
1089,会话下拉,3829002390,贝壳租房,634
1001,列表,3505000902,汽车报价大全,627
1001,列表,3505597506,快递助手云打印,623
1027,本地搜索,3507000638,大众点评美食电影运动旅游门票,621
1047,扫描小程序码,3505159217,微信发票助手,620
ALL,NULL,3505000820,春秋航空特价机票,617
ALL,NULL,3508001201,结婚啦微请柬电子请帖,614
ALL,NULL,3810023124,戏曲苑,614
1001,列表,3508231627,风火递,610
ALL,NULL,3508996034,照片制作器,608
1008,群聊,3507007049,铁友,607
1089,会话下拉,3508520183,斗米找工作,605
ALL,NULL,3507338582,众安保险福利,603
ALL,NULL,3829002105,趣找谱,603
1008,群聊,3507000638,大众点评美食电影运动旅游门票,602
1035,公众号自定义菜单,3508087787,途虎养车Tuhu,602
1043,公众号模板消息,3505003378,小打卡,601
1058,公众号文章,3506573244,菜菜美食日记,600
1089,会话下拉,3508032555,驾考宝典丨学车找驾校,592
1038,其他小程序返回,3846032181,粤省事,592
1089,会话下拉,3505006473,超能名片,587
1089,会话下拉,3506020829,途家公寓民宿,587
ALL,NULL,3505022087,群应用,586
1012,长按二维码,3508012745,充值特惠,585
1067,公众号文章广告,3506066650,车价天天报,584
1089,会话下拉,3508127507,名片全能王+,584
1001,列表,3849022532,领取音乐相册,583
ALL,NULL,3505178655,58同城生活助手,581
1089,会话下拉,3505047828,小睡眠,578
1048,长按小程序码,3507765505,报名工具,578
1043,公众号模板消息,3508000880,快递100小助手,574
ALL,NULL,3508628779,芒果在线+,568
1092,城市服务页面,3507135269,腾讯乘车码,564
1001,列表,3505197487,群里有事,563
